CAMPO,CONTRATO,CUENCA,EMPRESA,DEPARTAMENTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Purificación,Espinal,Valle Superior del Magdalena,PETROBRAS COLOMBIA LIMITED,Tolima,76,74,73,88,71,67,69,68,67,67,66,67
Quebrada Roja,Quebrada Roja,Valle Medio del Magdalena,CONSORCIO CAMPOS DE PRODUCCION,Santander,0,0,0,0,0,0.07,0,0,0,0,0,0
Querubin,Tisquirama-b,Valle Medio del Magdalena,PETROLEOS DEL NORTE S.A.,Cesar,146,147,135,155,129,90,137,114,108,114,89,60
Quifa,Quifa,Llanos Orientales,META PETROLEUM CORP.,Meta,53957,54110,54166,55110,54100,54844,53541,56875,57628,55980,54975,55076
Quililí,Orito,Putumayo,ECOPETROL S.A.,Putumayo,209,96,0,13,180,260,313,249,184,253,290,309
Quillacinga,CPI Suroriente,Putumayo,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S,Putumayo,2069,1819,1363,2057,1964,2047,1912,1217,1119,1629,2148,2035
Quimbaya,Ortega,Valle Superior del Magdalena,ECOPETROL S.A.,Tolima,268,240,217,204,197,200,183,190,185,185,182,186
Quriyana,Area Occidental,Putumayo,ECOPETROL S.A.,Putumayo,137,57,0,0,0,0,0,0.06,46,65,0,0
Ramiriquí,Llanos-22,Llanos Orientales,CEPCOLSA,Casanare,0,0,0,245,1025,560,991,931,898,917,898,1018
Rancho Hermoso,Rancho Hermoso CDNDCI,Llanos Orientales,CANACOL ENERGY COLOMBIA S.A.,Casanare,8126,9111,9939,8499,8644,7222,6742,5990,5438,5920,5447,5054
Rancho Quemado,Caracara,Llanos Orientales,CEPCOLSA,Meta,218,213,211,216,193,214,220,212,178,172,164,169
Redondo,Cravo Norte,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,951,598,883,969,976,356,846,1088,908,490,1117,856
Redondo Este,Cravo Norte,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,73,41,68,78,83,22,71,83,53,25,62,53
Remache Norte,Corocora,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,1007,969,963,866,680,646,686,633,625,635,677,655
Remache Sur,Corocora,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,392,384,386,429,399,388,389,385,370,372,374,409
Rex,Cosecha,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,0,0,0,0,0,6,283,733,351,175,294,283
Río Ceibas,Caguán,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,1449,1554,1516,1389,1409,1406,1507,1513,1487,1411,1429,1508
Río Opia,Río Opia,Valle Superior del Magdalena,INTEROIL COLOMBIA E&P,Tolima,72,77,77,69,69,49,44,49,58,55,61,69
Río Saldaña,Tolima - B,Valle Superior del Magdalena,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S,Tolima,151,286,405,333,298,211,243,239,256,179,263,306
Río Zulia,Zulia,Catatumbo,ECOPETROL S.A.,Norte de Santander,571,544,498,575,589,545,527,505,450,551,497,543
Rubiales,Piriri / Rubiales,Llanos Orientales,META PETROLEUM CORP.,Meta,210347,210704,209478,208286,210492,211175,212050,212115,207659,205775,204592,202566
Rumbero,Playón,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,0,0,0,0,0,0,0,0,0,16,66,58
Sabanero,Sabanero,Llanos Orientales,MAUREL & PROM COLOMBIA B.V.,Meta,1084,1000,1022,1082,1106,1162,1070,1080,1043,888,978,1267
Saimiri,Cravoviejo,Llanos Orientales,C&C ENERGÍA,Casanare,1882,1987,1866,1373,1992,1942,1693,1549,1549,1384,1426,1273
Samaria,Llanos-32,Llanos Orientales,P1 ENERGY DELTA CORP.,Casanare,0,0,0,0,0,0,0,0,0,197,242,323
San Antonio,Orito,Putumayo,ECOPETROL S.A.,Putumayo,510,496,479,474,395,405,412,415,267,363,430,455
San Francisco,Palermo,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,6525,6444,6185,6209,6334,6205,6384,6511,6461,6307,6282,6129
San Luis,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,51,47,39,46,44,53,47,48,44,46,45,54
San Roque,Tisquirama-c,Valle Medio del Magdalena,ECOPETROL S.A.,Cesar,853,835,870,799,855,832,1001,1086,1310,1387,1748,1879
San Silvestre,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,5,7,7,7,7,7,8,7,8,7,8,8
Santa Clara,Neiva,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,1130,1057,1022,925,948,1007,997,994,1071,1041,973,969
Santa Lucia,Tisquirama-a,Valle Medio del Magdalena,PETROLEOS DEL NORTE S.A.,Cesar,402,399,389,374,385,332,344,364,343,319,349,315
Santiago,Upia B,Llanos Orientales,ECOPETROL S.A.,Casanare,1628,1577,1575,1534,1514,1481,1419,1403,1381,1370,1272,989
Santo Domingo,La Punta CDNDCI,Llanos Orientales,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S,Casanare,3427,3406,2710,2165,3167,3530,3441,3253,2913,2555,2430,2349
Santo Domingo Norte,La Punta CDNDCI,Llanos Orientales,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S,Casanare,422,489,456,439,424,141,273,282,212,187,177,162
Sardinas,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,1032,1032,997,960,927,909,900,897,856,860,841,823
Sardinata,Barco,Catatumbo,ECOPETROL S.A.,Norte de Santander,354,331,283,272,270,203,0,145,227,252,322,305
Saurio,Suria,Llanos Orientales,ECOPETROL S.A.,Meta,157,146,72,0,0,0,0,0,0,0,0,0
Sibundoy,Mansoyá,Putumayo,ECOPETROL S.A.,Putumayo,89,37,0,0,0,0,0,0,0,0,46,44
Sirenas,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,48,37,44,44,46,48,51,50,48,59,63,65
Solopiña,Surimena,Llanos Orientales,LEWIS ENERGY COLOMBIA INC.,Casanare,0,0,72,600,396,344,358,268,293,284,289,263
Sucio,Orito,Putumayo,ECOPETROL S.A.,Putumayo,89,85,90,88,95,69,0,54,9,51,42,41
Sucumbíos,Orito,Putumayo,ECOPETROL S.A.,Nariño,282,395,434,464,483,493,517,329,318,484,467,427
Sulawesi,Llanos 16,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,430,424,485,439,497,469,417,381,428,428,445,391
Suria,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,5728,5663,5425,5161,5911,5785,5334,5274,4898,4714,4642,4595
Suria Sur,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,2127,1867,1846,1464,1302,1794,1961,1667,1712,1936,1593,2099
