DEPARTAMENTO,CUENCA,EMPRESA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,E&P LLANOS 40,CELTIS,0,0,28,149,160,214,0,469,378,335
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,CENCELLA,0,0,0,0,0,0,0,101,29,0
CASANARE,LLANOS ORIENTALES,EMERALD ENERGY  DE COLOMBIA PLC,CAMPO RICO,CENTAURO SUR,266,265,260,224,228,208,181,179,181,184
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,CERNICALO,648,543,539,512,453,414,363,277,271,258
NORTE DE SANTANDER,CATATUMBO,WELL LOGGING,BLOQUE CARBONERA,CERRO GORDO,1,3,1,1,3,1,1,1,1,1
META,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CERRERO,CHACHARO,0,0,0,0,0,68,47,0,0,63
META,LLANOS ORIENTALES,MAUREL & PROM COLOMBIA B.V,E&P SABANERO,CHAMAN,62,59,55,52,38,52,37,32,13,2
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,ESTERO,CHAPARRITO,89,174,177,166,160,161,132,169,164,168
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,CHENCHE CDND/I-ECOPETROL,CHENCHE,0,0,0,0,0,61,73,80,70,68
SANTANDER,VALLE MEDIO DEL MAGDALENA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,CHICALA,94,44,0,0,0,0,0,0,0,0
META,LLANOS ORIENTALES,ECOPETROL LLANOS,CUBARRAL,CHICHIMENE,34810,33397,33893,31645,38904,38523,39537,46327,47375,47586
META,LLANOS ORIENTALES,ECOPETROL LLANOS,CUBARRAL,CHICHIMENE SW,496,490,499,482,531,537,418,168,144,91
META,LLANOS ORIENTALES,ECOPETROL LLANOS,CUBARRAL,CHICHIMENE SW,13663,12391,12109,11545,12698,12798,15077,16899,16932,15402
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,CHIPIRON,CHIPIRON,0,0,0,0,0,0,0,0,0,0
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,CHIPIRON,CHIPIRON,2541,2503,2134,287,415,2358,1414,3988,6189,6705
CESAR,CESAR - RANCHERÍA,PETROLEOS DEL NORTE S.A,E&P MIDAS,CHUIRA,22,23,23,24,24,23,22,23,23,0
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,CHURUYACO,200,193,173,45,7,211,260,258,183,165
