Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
TOLIMA,ORTEGA,3.937793962,-75.27824314,POINT (-75.27824314 3.937793962),HOCOL S.A.,ORTEGA,TOLDADO,259.71,282.3,312.79,319.39,353.9,435.58,365.26,364.62,391.57,0,0,0
TOLIMA,ORTEGA,3.937793962,-75.27824314,POINT (-75.27824314 3.937793962),HOCOL S.A.,TOLDADO,TOLDADO,0,0,0,0,0,0,0,0,0,402.42,354.74,322.09
TOLIMA,ORTEGA,3.937793962,-75.27824314,POINT (-75.27824314 3.937793962),HOCOL S.A.,TOY,TOY,150.35,144.58,139.18,118.99,59.75,0,0,0,0,0,0,0
TOLIMA,PIEDRAS,4.433764446,-74.99879938,POINT (-74.99879938 4.433764446),INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,AMBROSÍA,AMBROSÍA,28.84,29.42,29.35,29.29,29.12,31.07,29.88,29.18,29.04,29.96,29.29,29.34
TOLIMA,PIEDRAS,4.433764446,-74.99879938,POINT (-74.99879938 4.433764446),INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,MANÁ,MANÁ,423.94,445.75,423.19,41.49,35.03,196.47,205.54,371.44,417.88,407.62,393.31,387.48
TOLIMA,PIEDRAS,4.433764446,-74.99879938,POINT (-74.99879938 4.433764446),INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,RÍO OPIA,RÍO OPIA,25.91,24.79,26.86,2.68,0,28.36,26.06,28.9,23.76,24.91,24.1,24.73
TOLIMA,PIEDRAS,4.433764446,-74.99879938,POINT (-74.99879938 4.433764446),HOCOL S.A.,PULI,TOQUI TOQUI,356.76,374.42,463.51,404.32,365.96,358.03,348.97,362.87,454.39,458.7,463.87,447.37
TOLIMA,PRADO,3.729166649,-74.87247706,POINT (-74.87247706 3.729166649),HOCOL S.A.,ESPINAL,MATACHÍN SUR,114.72,136.6,172.58,189.52,195.27,198.65,182.8,175.61,169.16,153.08,151.01,149.97
TOLIMA,PURIFICACIÓN,3.854281614,-74.87451155,POINT (-74.87451155 3.854281614),HOCOL S.A.,CHENCHE,CHENCHE,50.84,50.48,49.64,49.05,48.73,48.54,46.38,47.71,47.38,46.85,46.54,45.89
TOLIMA,PURIFICACIÓN,3.854281614,-74.87451155,POINT (-74.87451155 3.854281614),HOCOL S.A.,ESPINAL,MATACHÍN NORTE,1215.96,1239.39,1261.9,1317.66,1339.26,1285.89,1298.55,1238.69,1218.94,1257.85,1191.1,1234.9
TOLIMA,PURIFICACIÓN,3.854281614,-74.87451155,POINT (-74.87451155 3.854281614),HOCOL S.A.,ESPINAL,MATACHÍN SUR,80.3,105.55,120.17,124.08,118.16,115.42,116.88,114.25,114.73,108.33,104.18,103.09
TOLIMA,PURIFICACIÓN,3.854281614,-74.87451155,POINT (-74.87451155 3.854281614),HOCOL S.A.,ESPINAL,PURIFICACIÓN,52.02,50.97,51.14,51.94,21.91,0,0,0,0,0,0,0
TOLIMA,SAN LUIS,4.057271684,-75.16320806,POINT (-75.16320806 4.057271684),HOCOL S.A.,ORTEGA,PACANDE,52.59,64.71,42.88,62.84,59.1,21.03,0,0,0,65.92,67.56,71.86
